"age","bmass","mu","sigma","nu"
7,25,33.5738117802359,0.168711856510381,-0.456411113599897
7,25.1,33.6554135244332,0.168694034229329,-0.452557915600151
7,25.2,33.7371670807445,0.168676213825483,-0.448720038507654
7,25.3,33.819071622028,0.168658395298549,-0.444897360968207
7,25.4,33.901126311444,0.168640578648231,-0.441089763063763
7,25.5,33.9833303024138,0.168622763874237,-0.437297126289856
7,25.6,34.0656827385831,0.168604950976272,-0.433519333533467
7,25.7,34.1481827537606,0.168587139954042,-0.429756269051328
7,25.8,34.2308294718775,0.168569330807253,-0.426007818448643
7,25.9,34.3136220069458,0.168551523535611,-0.422273868658222
7,26,34.3965594630147,0.168533718138823,-0.418554307920015
7,26.1,34.4796409341275,0.168515914616594,-0.414849025761046
7,26.2,34.5628655042777,0.168498112968631,-0.411157912975718
7,26.3,34.6462322473661,0.16848031319464,-0.407480861606505
7,26.4,34.7297402271584,0.168462515294328,-0.403817764925006
7,26.5,34.8133884972425,0.168444719267401,-0.400168517413354
7,26.6,34.8971761009865,0.168426925113566,-0.396533014745982
7,26.7,34.9811020714965,0.16840913283253,-0.392911153771724
7,26.8,35.0651654315752,0.168391342423998,-0.389302832496255
7,26.9,35.1493651936801,0.168373553887678,-0.385707950064857
7,27,35.233700359883,0.168355767223276,-0.382126406745503
7,27.1,35.3181699218286,0.1683379824305,-0.378558103912258
7,27.2,35.402772860694,0.168320199509056,-0.375002944028982
7,27.3,35.4875081471489,0.168302418458652,-0.371460830633329
7,27.4,35.5723747413153,0.168284639278993,-0.367931668321048
7,27.5,35.6573715927278,0.168266861969788,-0.364415362730562
7,27.6,35.7424976402941,0.168249086530744,-0.360911820527829
7,27.7,35.8277518122572,0.168231312961568,-0.357420949391478
7,27.8,35.9131330261544,0.168213541261966,-0.353942657998209
7,27.9,35.9986401887784,0.168195771431647,-0.350476856008462
7,28,36.0842721961774,0.168178003470318,-0.347023454052336
7,28.1,36.1700279334555,0.168160237377686,-0.343582363715764
7,28.2,36.2559062390549,0.168142473153457,-0.340153497526924
7,28.3,36.3419051025303,0.168124710797292,-0.336736768942908
7,28.4,36.4280216503464,0.168106950308807,-0.333332092336604
7,28.5,36.5142529445763,0.168089191687617,-0.329939382983831
7,28.6,36.6005960195872,0.168071434933337,-0.326558557050681
7,28.7,36.6870478819494,0.16805368004558,-0.32318953158109
7,28.8,36.7736055103531,0.168035927023963,-0.319832224484629
7,28.9,36.860265855523,0.168018175868099,-0.316486554524497
7,29,36.9470258401378,0.168000426577604,-0.313152441305729
7,29.1,37.0338823587527,0.167982679152092,-0.309829805263604
7,29.2,37.1208322777217,0.16796493359118,-0.306518567652253
7,29.3,37.2078724351265,0.167947189894482,-0.303218650533458
7,29.4,37.2949996407044,0.167929448061613,-0.29992997676565
7,29.5,37.3822106757811,0.16791170809219,-0.296652469993081
7,29.6,37.4695022932062,0.167893969985828,-0.293386054635197
7,29.7,37.5568712172893,0.167876233742142,-0.290130655876168
7,29.8,37.6443141437427,0.167858499360748,-0.286886199654618
7,29.9,37.7318277396233,0.167840766841262,-0.283652612653505
7,30,37.8194086432793,0.1678230361833,-0.280429822290185
7,30.1,37.9070534643005,0.167805307386479,-0.277217756706639
7,30.2,37.9947587834688,0.167787580450413,-0.27401634475985
7,30.3,38.0825211527155,0.167769855374721,-0.270825516012358
7,30.4,38.1703370950784,0.167752132159017,-0.267645200722958
7,30.5,38.2582031046637,0.167734410802919,-0.264475329837548
7,30.6,38.346115646612,0.167716691306044,-0.261315834980144
7,30.7,38.4340711570635,0.167698973668006,-0.258166648444018
7,30.8,38.5220660431323,0.167681257888425,-0.255027703183002
7,30.9,38.6100966828787,0.167663543966916,-0.251898932802915
7,31,38.6981594252878,0.167645831903097,-0.248780271553144
7,31.1,38.7862505902515,0.167628121696584,-0.245671654318349
7,31.2,38.8743664685512,0.167610413346995,-0.242573016610304
7,31.3,38.9625033218475,0.167592706853946,-0.239484294559875
7,31.4,39.0506573826714,0.167575002217057,-0.236405424909116
7,31.5,39.1388248544187,0.167557299435943,-0.233336345003499
7,31.6,39.2270019113503,0.167539598510223,-0.23027699278426
7,31.7,39.3151846985924,0.167521899439514,-0.227227306780875
7,31.8,39.4033693321439,0.167504202223434,-0.224187226103643
7,31.9,39.4915518988862,0.167486506861601,-0.221156690436394
7,32,39.5797284565954,0.167468813353633,-0.218135640029312
7,32.1,39.6678950339613,0.167451121699147,-0.215124015691859
7,32.2,39.7560476306066,0.167433431897763,-0.212121758785825
7,32.3,39.8441822171132,0.167415743949099,-0.209128811218472
7,32.4,39.9322947350512,0.167398057852772,-0.206145115435791
7,32.5,40.02038109701,0.167380373608402,-0.20317061441586
7,32.6,40.1084371866365,0.167362691215606,-0.200205251662308
7,32.7,40.1964588586763,0.167345010674004,-0.197248971197873
7,32.8,40.2844419390181,0.167327331983215,-0.194301717558066
7,32.9,40.3723822247421,0.167309655142857,-0.19136343578492
7,33,40.4602754841736,0.167291980152549,-0.188434071420851
7,33.1,40.5481174569421,0.16727430701191,-0.185513570502593
7,33.2,40.6359038540393,0.16725663572056,-0.182601879555237
7,33.3,40.7236303578894,0.167238966278118,-0.179698945586359
7,33.4,40.8112926224161,0.167221298684203,-0.176804716080226
7,33.5,40.8988862731179,0.167203632938435,-0.1739191389921
7,33.6,40.9864069071495,0.167185969040433,-0.171042162742625
7,33.7,41.0738500934006,0.167168306989817,-0.168173736212289
7,33.8,41.1612113725893,0.167150646786207,-0.165313808735979
7,33.9,41.2484862573505,0.167132988429222,-0.162462330097608
7,34,41.335670232334,0.167115331918483,-0.159619250524826
7,34.1,41.422758754308,0.16709767725361,-0.15678452068381
7,34.2,41.5097472522617,0.167080024434223,-0.15395809167412
7,34.3,41.5966311275206,0.167062373459942,-0.151139915023646
7,34.4,41.6834057538585,0.167044724330387,-0.148329942683614
7,34.5,41.7700664776189,0.167027077045179,-0.145528127023674
7,34.6,41.8566086178427,0.167009431603939,-0.142734420827057
7,34.7,41.9430274663931,0.166991788006288,-0.139948777285794
7,34.8,42.0293182880962,0.166974146251845,-0.137171149996017
7,34.9,42.1154763208766,0.166956506340233,-0.134401492953319
7,35,42.2014967759024,0.166938868271071,-0.131639760548181
7,35.1,42.2873748377384,0.166921232043981,-0.128885907561466
7,35.2,42.3731056644955,0.166903597658585,-0.126139889159977
7,35.3,42.4586843879948,0.166885965114503,-0.123401660892076
7,35.4,42.5441061139303,0.166868334411356,-0.12067117868337
7,35.5,42.6293659220371,0.166850705548767,-0.117948398832449
7,35.6,42.7144588662709,0.166833078526357,-0.115233278006695
7,35.7,42.7993799749829,0.166815453343748,-0.11252577323814
7,35.8,42.8841242511092,0.166797830000561,-0.109825841919387
7,35.9,42.9686866723588,0.166780208496417,-0.107133441799587
7,36,43.0530621914096,0.16676258883094,-0.104448530980474
7,36.1,43.1372457361116,0.166744971003752,-0.101771067912449
7,36.2,43.2212322096899,0.166727355014473,-0.099101011390723
7,36.3,43.3050164909589,0.166709740862728,-0.0964383205515164
7,36.4,43.3885931103472,0.166692128548139,-0.0937829548682996
7,36.5,43.4719579591743,0.166674518070323,-0.0911348741480976
7,36.6,43.5551110309596,0.166656909428869,-0.088494038527837
7,36.7,43.6380530039742,0.166639302623361,-0.085860408470745
7,36.8,43.7207860608098,0.166621697653374,-0.0832339447628005
7,36.9,43.803311966071,0.166604094518488,-0.0806146085092276
7,37,43.8856325129804,0.16658649321828,-0.0780023611310417
7,37.1,43.967749523275,0.166568893752329,-0.0753971643616385
7,37.2,44.0496648470975,0.166551296120214,-0.0727989802434324
7,37.3,44.1313803628934,0.166533700321513,-0.0702077711245378
7,37.4,44.2128979773047,0.166516106355806,-0.0676234996554919
7,37.5,44.2942196250626,0.166498514222671,-0.0650461287860303
7,37.6,44.3753472688875,0.166480923921687,-0.0624756217618952
7,37.7,44.456282899379,0.166463335452434,-0.0599119421216922
7,37.8,44.5370285349157,0.166445748814491,-0.0573550536937871
7,37.9,44.6175862215498,0.166428164007438,-0.0548049205932438
7,38,44.6979580329019,0.166410581030854,-0.0522615072188025
7,38.1,44.7781460700619,0.166392999884319,-0.0497247782498962
