bodyMass,mu,sigma,nu
127.1,263.1761573,0.094789458,3.011445712
127.2,263.2478404,0.094772477,3.011989604
127.3,263.3197628,0.094755499,3.012533069
127.4,263.3919278,0.094738524,3.013076106
127.5,263.4643381,0.094721553,3.013618718
127.6,263.5369975,0.094704584,3.014160904
127.7,263.609911,0.094687618,3.014702666
127.8,263.6830831,0.094670656,3.015244003
127.9,263.7565181,0.094653696,3.015784917
128.0,263.8302201,0.094636739,3.016325409
128.1,263.9041936,0.094619786,3.016865478
128.2,263.9784429,0.094602835,3.017405125
128.3,264.0529722,0.094585887,3.017944352
128.4,264.127786,0.094568943,3.018483159
128.5,264.2028885,0.094552001,3.019021547
128.6,264.2782841,0.094535063,3.019559515
128.7,264.3539771,0.094518127,3.020097065
128.8,264.4299719,0.094501195,3.020634198
128.9,264.5062728,0.094484266,3.021170914
129.0,264.5828843,0.094467339,3.021707214
129.1,264.6598108,0.094450416,3.022243098
129.2,264.7370565,0.094433495,3.022778568
129.3,264.8146259,0.094416578,3.023313623
129.4,264.8925234,0.094399664,3.023848264
129.5,264.9707533,0.094382752,3.024382492
129.6,265.04932,0.094365844,3.024916308
129.7,265.128228,0.094348939,3.025449712
129.8,265.2074815,0.094332037,3.025982706
129.9,265.2870851,0.094315137,3.026515288
130.0,265.367043,0.094298241,3.027047461
130.1,265.4473599,0.094281348,3.027579225
130.2,265.5280399,0.094264458,3.02811058
130.3,265.6090877,0.094247571,3.028641527
130.4,265.6905077,0.094230686,3.029172066
130.5,265.7723041,0.094213805,3.029702199
130.6,265.8544817,0.094196927,3.030231926
130.7,265.9370447,0.094180052,3.030761248
130.8,266.0199976,0.09416318,3.031290165
130.9,266.103345,0.094146311,3.031818677
131.0,266.1870913,0.094129445,3.032346786
131.1,266.2712409,0.094112582,3.032874492
131.2,266.3557984,0.094095722,3.033401795
131.3,266.4407684,0.094078865,3.033928697
131.4,266.5261555,0.094062011,3.034455198
131.5,266.6119643,0.09404516,3.034981298
131.6,266.6981993,0.094028312,3.035506998
131.7,266.7848653,0.094011467,3.036032299
131.8,266.8719669,0.093994625,3.036557201
131.9,266.9595086,0.093977787,3.037081705
132.0,267.0474952,0.093960951,3.037605812
132.1,267.1359313,0.093944118,3.038129521
132.2,267.2248216,0.093927288,3.038652834
132.3,267.3141708,0.093910461,3.039175752
132.4,267.4039829,0.093893637,3.039698275
132.5,267.4942609,0.093876817,3.040220403
132.6,267.5850076,0.093859999,3.040742137
132.7,267.6762257,0.093843184,3.041263478
132.8,267.7679181,0.093826372,3.041784426
132.9,267.8600874,0.093809564,3.042304982
133.0,267.9527359,0.093792758,3.042825146
133.1,268.0458651,0.093775955,3.043344919
133.2,268.1394767,0.093759156,3.043864302
133.3,268.2335723,0.093742359,3.044383296
133.4,268.3281533,0.093725565,3.0449019
133.5,268.4232216,0.093708775,3.045420115
133.6,268.5187789,0.093691987,3.045937943
133.7,268.6148273,0.093675203,3.046455383
133.8,268.7113687,0.093658421,3.046972436
133.9,268.8084051,0.093641642,3.047489103
134.0,268.9059383,0.093624867,3.048005384
134.1,269.0039702,0.093608094,3.04852128
134.2,269.1025027,0.093591325,3.049036791
134.3,269.2015376,0.093574558,3.049551919
134.4,269.3010768,0.093557795,3.050066663
134.5,269.4011222,0.093541034,3.050581024
134.6,269.5016757,0.093524277,3.051095003
134.7,269.6027392,0.093507522,3.0516086
134.8,269.7043147,0.093490771,3.052121816
134.9,269.8064041,0.093474022,3.052634651
135.0,269.9090092,0.093457277,3.053147107
135.1,270.012132,0.093440534,3.053659183
135.2,270.1157745,0.093423795,3.05417088
135.3,270.2199385,0.093407058,3.054682198
135.4,270.3246261,0.093390325,3.055193139
135.5,270.429839,0.093373594,3.055703703
135.6,270.5355794,0.093356867,3.05621389
135.7,270.6418494,0.093340142,3.056723701
135.8,270.7486499,0.093323421,3.057233136
135.9,270.8559824,0.093306703,3.057742197
136.0,270.9638488,0.093289987,3.058250883
136.1,271.0722515,0.093273275,3.058759195
136.2,271.1811927,0.093256565,3.059267134
136.3,271.2906746,0.093239859,3.0597747
136.4,271.4006994,0.093223156,3.060281893
136.5,271.5112695,0.093206455,3.060788715
136.6,271.622387,0.093189758,3.061295166
136.7,271.7340542,0.093173063,3.061801246
136.8,271.8462734,0.093156372,3.062306956
136.9,271.9590468,0.093139684,3.062812297
137.0,272.0723767,0.093122998,3.063317268
137.1,272.1862654,0.093106316,3.063821871
137.2,272.3007152,0.093089636,3.064326107
137.3,272.4157284,0.09307296,3.064829974
137.4,272.5313072,0.093056287,3.065333475
137.5,272.647454,0.093039616,3.06583661
137.6,272.7641711,0.093022949,3.066339379
137.7,272.8814607,0.093006285,3.066841782
137.8,272.9993253,0.092989623,3.067343821
137.9,273.1177664,0.092972965,3.067845496
