"age","bmass","mu","sigma","nu"
7,25,34.5118640291211,0.232909517368786,-0.636378590559303
7,25.1,34.5685940564205,0.23280324415118,-0.635125989274386
7,25.2,34.6254770735853,0.232697017798814,-0.633878368524626
7,25.3,34.6825137764131,0.232590838314121,-0.632635688860085
7,25.4,34.7397048729716,0.232484705691425,-0.63139791129769
7,25.5,34.7970510768514,0.232378619923015,-0.630164997313894
7,25.6,34.8545531049181,0.232272581001165,-0.628936908837487
7,25.7,34.9122115942895,0.23216658899138,-0.627713608242536
7,25.8,34.9700267964669,0.232060644300865,-0.626495058341472
7,25.9,35.0279986568038,0.231954747605126,-0.625281222378305
7,26,35.0861270629648,0.23184889962736,-0.62407206402197
7,26.1,35.1444119059006,0.23174310108459,-0.622867547359808
7,26.2,35.202853092831,0.231637352676373,-0.621667636891158
7,26.3,35.261450520909,0.231531655107893,-0.620472297521085
7,26.4,35.3202040851144,0.231426009083002,-0.619281494554219
7,26.5,35.3791136782234,0.231320415304243,-0.61809519368871
7,26.6,35.4381791907986,0.231214874472844,-0.616913361010304
7,26.7,35.4974005111617,0.231109387288717,-0.615735962986521
7,26.8,35.5567775253819,0.231003954450455,-0.614562966460948
7,26.9,35.6163101172538,0.230898576655343,-0.613394338647638
7,27,35.6759981682737,0.230793254599361,-0.612230047125607
7,27.1,35.7358415576262,0.230687988977175,-0.611070059833444
7,27.2,35.79584016216,0.230582780482152,-0.609914345064005
7,27.3,35.8559938563717,0.230477629806351,-0.60876287145922
7,27.4,35.9163025123884,0.23037253764052,-0.607615608004985
7,27.5,35.9767659999389,0.230267504674121,-0.606472524026146
7,27.6,36.0373841863445,0.230162531595308,-0.605333589181585
7,27.7,36.0981569364926,0.230057619090942,-0.604198773459382
7,27.8,36.1590841128213,0.229952767846585,-0.603068047172071
7,27.9,36.2201655752973,0.229847978546508,-0.601941380951983
7,28,36.2814011813955,0.229743251873693,-0.600818745746665
7,28.1,36.3427907860813,0.22963858850983,-0.599700112814386
7,28.2,36.404334241791,0.229533989135321,-0.598585453719724
7,28.3,36.4660313984106,0.229429454429281,-0.597474740329228
7,28.4,36.5278821032562,0.229324985069546,-0.596367944807154
7,28.5,36.5898862010526,0.229220581732672,-0.595265039611285
7,28.6,36.6520435339177,0.229116245093929,-0.594165997488813
7,28.7,36.7143539413397,0.229011975827314,-0.593070791472303
7,28.8,36.7768172601571,0.228907774605548,-0.591979394875718
7,28.9,36.8394333245394,0.228803642100078,-0.590891781290523
7,29,36.9022019659669,0.22869957898108,-0.589807924581846
7,29.1,36.9651230132109,0.228595585917463,-0.58872779888471
7,29.2,37.0281962923142,0.228491663576866,-0.587651378600334
7,29.3,37.0914216265663,0.228387812625673,-0.586578638392488
7,29.4,37.1547988364953,0.228284033728987,-0.585509553183915
7,29.5,37.2183277398331,0.228180327550669,-0.584444098152818
7,29.6,37.2820081515047,0.228076694753313,-0.583382248729396
7,29.7,37.3458398836064,0.227973135998258,-0.58232398059245
7,29.8,37.4098227453798,0.227869651945599,-0.581269269666036
7,29.9,37.4739565432045,0.227766243254163,-0.580218092116179
7,30,37.538241080565,0.227662910581538,-0.579170424347645
7,30.1,37.6026761580349,0.22755965458407,-0.578126243000761
7,30.2,37.6672615732601,0.227456475916849,-0.577085524948286
7,30.3,37.7319971209301,0.227353375233742,-0.576048247292343
7,30.4,37.7968825927731,0.227250353187349,-0.575014387361396
7,30.5,37.8619177775161,0.227147410429059,-0.573983922707271
7,30.6,37.9271024608792,0.227044547609014,-0.572956831102236
7,30.7,37.9924364255506,0.226941765376124,-0.571933090536126
7,30.8,38.0579194511615,0.226839064378078,-0.570912679213507
7,30.9,38.123551314279,0.226736445261322,-0.569895575550897
7,31,38.1893317883691,0.226633908671093,-0.568881758174021
7,31.1,38.2552606437872,0.226531455251399,-0.567871205915124
7,31.2,38.3213376477568,0.226429085645025,-0.566863897810312
7,31.3,38.3875625643405,0.226326800493553,-0.565859813096946
7,31.4,38.4539351544369,0.226224600437328,-0.564858931211072
7,31.5,38.5204551757396,0.226122486115504,-0.563861231784896
7,31.6,38.5871223827319,0.226020458166014,-0.562866694644296
7,31.7,38.6539365266594,0.225918517225588,-0.561875299806376
7,31.8,38.7208973555086,0.225816663929759,-0.560887027477053
7,31.9,38.7880046139958,0.225714898912841,-0.559901858048689
7,32,38.8552580435358,0.225613222807961,-0.558919772097756
7,32.1,38.9226573822225,0.225511636247055,-0.55794075038254
7,32.2,38.9902023648162,0.225410139860856,-0.556964773840873
7,32.3,39.057892722716,0.225308734278911,-0.555991823587914
7,32.4,39.1257281839422,0.225207420129577,-0.55502188091395
