"age","bmass","mu","sigma","nu"
13,30,83.6633180008218,0.130200997335447,3.56793607437351
13,30.1,83.9032297540094,0.130210207904089,3.56355801877994
13,30.2,84.1438294747637,0.130219419124298,3.55919448412712
13,30.3,84.3851191358911,0.130228630996119,3.55484537440855
13,30.4,84.6271007158547,0.130237843519599,3.55051059456676
13,30.5,84.8697761987912,0.130247056694783,3.54619005048079
13,30.6,85.1131475745272,0.130256270521718,3.54188364895394
13,30.7,85.3572168385947,0.13026548500045,3.53759129770175
13,30.8,85.6019859922489,0.130274700131024,3.53331290534006
13,30.9,85.8474570424831,0.130283915913487,3.5290483813734
13,31,86.0936320020461,0.130293132347886,3.52479763618346
13,31.1,86.3405128894584,0.130302349434266,3.52056058101785
13,31.2,86.5881017290287,0.130311567172673,3.5163371279789
13,31.3,86.8364005508706,0.130320785563153,3.51212719001277
13,31.4,87.0854113909194,0.130330004605753,3.5079306808987
13,31.5,87.3351362909485,0.130339224300519,3.50374751523834
13,31.6,87.5855772985863,0.130348444647496,3.49957760844543
13,31.7,87.8367364673326,0.130357665646732,3.49542087673542
13,31.8,88.0886158565763,0.130366887298271,3.49127723711547
13,31.9,88.3412175316116,0.130376109602161,3.48714660737445
13,32,88.5945435636551,0.130385332558447,3.48302890607317
13,32.1,88.8485960298625,0.130394556167176,3.47892405253474
13,32.2,89.1033770133465,0.130403780428394,3.47483196683508
13,32.3,89.3588886031928,0.130413005342146,3.47075256979362
13,32.4,89.6151328944779,0.13042223090848,3.46668578296405
13,32.5,89.8721119882863,0.13043145712744,3.46263152862532
13,32.6,90.1298279917272,0.130440683999074,3.45858972977269
13,32.7,90.3882830179525,0.130449911523428,3.45456031010898
13,32.8,90.6474791861732,0.130459139700547,3.45054319403591
13,32.9,90.907418621678,0.130468368530478,3.4465383066456
13,33,91.1681034558495,0.130477598013267,3.44254557371219
13,33.1,91.4295358261826,0.130486828148961,3.43856492168357
13,33.2,91.6917178763012,0.130496058937605,3.43459627767328
13,33.3,91.9546517559767,0.130505290379245,3.43063956945247
13,33.4,92.218339621145,0.130514522473929,3.42669472544203
13,33.5,92.4827836339241,0.130523755221701,3.42276167470482
13,33.6,92.7479859626325,0.130532988622609,3.41884034693801
13,33.7,93.0139487818061,0.130542222676698,3.41493067246554
13,33.8,93.2806742722165,0.130551457384014,3.41103258223071
13,33.9,93.5481646208894,0.130560692744605,3.40714600778883
13,34,93.8164220211213,0.130569928758515,3.40327088130003
13,34.1,94.0854486724986,0.130579165425792,3.39940713552214
13,34.2,94.355246780915,0.130588402746481,3.39555470380373
13,34.3,94.6258185585897,0.130597640720629,3.39171352007713
13,34.4,94.8971662240862,0.130606879348282,3.38788351885173
13,34.5,95.1692920023289,0.130616118629487,3.38406463520721
13,34.6,95.4421981246236,0.130625358564288,3.38025680478695
13,34.7,95.7158868286733,0.130634599152733,3.37645996379156
13,34.8,95.9903603585989,0.130643840394868,3.3726740489724
13,34.9,96.2656209649558,0.13065308229074,3.36889899762533
13,35,96.5416709047535,0.130662324840393,3.36513474758443
13,35.1,96.8185124414732,0.130671568043875,3.36138123721586
13,35.2,97.0961478450872,0.130680811901232,3.35763840541185
13,35.3,97.374579392077,0.13069005641251,3.35390619158466
13,35.4,97.6538093654523,0.130699301577756,3.35018453566076
13,35.5,97.9338400547692,0.130708547397015,3.34647337807499
13,35.6,98.2146737561496,0.130717793870334,3.34277265976485
13,35.7,98.4963127722994,0.13072704099776,3.33908232216486
13,35.8,98.7787594125281,0.130736288779337,3.33540230720101
13,35.9,99.062015992767,0.130745537215114,3.33173255728526
13,36,99.3460848355887,0.130754786305135,3.32807301531014
13,36.1,99.6309682702261,0.130764036049448,3.3244236246434
13,36.2,99.916668632591,0.130773286448098,3.3207843291228
13,36.3,100.203188265294,0.130782537501133,3.31715507305087
13,36.4,100.490529517663,0.130791789208597,3.31353580118982
13,36.5,100.778694745763,0.130801041570538,3.3099264587565
13,36.6,101.067686312416,0.130810294587001,3.30632699141741
13,36.7,101.357506587218,0.130819548258034,3.30273734528382
13,36.8,101.64815794656,0.130828802583682,3.29915746690687
13,36.9,101.93964277365,0.130838057563991,3.29558730327288
13,37,102.231963458528,0.130847313199009,3.29202680179855
13,37.1,102.525122398088,0.130856569488781,3.28847591032639
13,37.2,102.819121996096,0.130865826433353,3.28493457712009
13,37.3,103.113964663214,0.130875084032773,3.28140275086001
13,37.4,103.409652817014,0.130884342287086,3.27788038063871
13,37.5,103.706188882003,0.130893601196338,3.27436741595656
13,37.6,104.003575289638,0.130902860760576,3.27086380671739
13,37.7,104.30181447835,0.130912120979846,3.26736950322421
13,37.8,104.600908893561,0.130921381854196,3.26388445617497
13,37.9,104.900860987709,0.130930643383669,3.26040861665838
13,38,105.20167322026,0.130939905568315,3.25694193614981
13,38.1,105.503348057735,0.130949168408178,3.25348436650722
13,38.2,105.805887973728,0.130958431903304,3.25003585996714
13,38.3,106.109295448927,0.130967696053742,3.24659636914071
13,38.4,106.413572971131,0.130976960859535,3.2431658470098
13,38.5,106.718723035275,0.130986226320732,3.23974424692311
13,38.6,107.024748143448,0.130995492437378,3.23633152259239
13,38.7,107.331650804914,0.13100475920952,3.2329276280887
13,38.8,107.639411099213,0.131014026636742,3.22953251783865
13,38.9,107.947918850831,0.13102329471678,3.22614614662078
13,39,108.257040035242,0.131032563446904,3.22276846956195
13,39.1,108.566678362525,0.131041832825181,3.21939944213373
13,39.2,108.876872327838,0.131051102852409,3.21603902014893
13,39.3,109.18761336507,0.131060373528434,3.21268715975807
13,39.4,109.498874485845,0.131069644852735,3.209343817446
13,39.5,109.810640641942,0.131078916825037,3.20600895002848
13,39.6,110.122893542822,0.131088189445001,3.20268251464881
13,39.7,110.43561469116,0.13109746271229,3.1993644687746
13,39.8,110.74878538207,0.131106736626565,3.19605477019443
13,39.9,111.062386702372,0.131116011187489,3.19275337701465
13,40,111.37639952988,0.131125286394724,3.18946024765622
13,40.1,111.690804531701,0.131134562247932,3.18617534085156
13,40.2,112.005582165945,0.131143838746773,3.18289861564144
13,40.3,112.320712679614,0.131153115890911,3.1796300313719
13,40.4,112.636176108215,0.131162393680006,3.17636954769126
13,40.5,112.951952275229,0.13117167211372,3.1731171245471
13,40.6,113.268020791603,0.131180951191714,3.16987272218332
13,40.7,113.58436105529,0.13119023091365,3.16663630113723
13,40.8,113.900952250818,0.131199511279187,3.16340782223666
13,40.9,114.217773348906,0.131208792287988,3.16018724659711
13,41,114.534803106105,0.131218073939714,3.15697453561896
13,41.1,114.852020064489,0.131227356234024,3.15376965098469
13,41.2,115.169402551384,0.13123663917058,3.15057255465611
13,41.3,115.486928679129,0.131245922749041,3.14738320887168
13,41.4,115.804576344889,0.13125520696907,3.14420157614384
13,41.5,116.122323230503,0.131264491830325,3.14102761925633
13,41.6,116.440146802371,0.131273777332468,3.13786130126161
13,41.7,116.758024311395,0.131283063475158,3.13470258547827
13,41.8,117.07593279295,0.131292350258055,3.13155143548849
13,41.9,117.393849066908,0.131301637680819,3.12840781513548
13,42,117.711749737704,0.131310925743111,3.12527168852105
13,42.1,118.029611194444,0.131320214444589,3.12214302000312
13,42.2,118.347409611068,0.131329503784913,3.11902177419326
13,42.3,118.665120946546,0.131338793763744,3.11590791595436
13,42.4,118.982720945133,0.131348084380739,3.11280141039818
13,42.5,119.300185136667,0.131357375635559,3.10970222288308
13,42.6,119.617488835157,0.131366667527863,3.10661031901162
13,42.7,119.934607133874,0.13137596005731,3.10352566462833
13,42.8,120.251514910998,0.131385253223561,3.10044822581745
13,42.9,120.568186839091,0.131394547026274,3.09737796890063
13,43,120.884597407471,0.131403841465106,3.09431486043478
13,43.1,121.2007209014,0.131413136539714,3.09125886720988
13,43.2,121.516531395539,0.131422432249753,3.08820995624676
13,43.3,121.832002580298,0.131431728594893,3.08516809479505
13,43.4,122.147107751177,0.131441025574815,3.08213325033101
13,43.5,122.461821882773,0.131450323189064,3.07910539055545
13,43.6,122.776121390926,0.131459621437067,3.07608448339169
13,43.7,123.089986591735,0.131468920317956,3.07307049698351
13,43.8,123.403397304086,0.13147821983089,3.07006339969313
13,43.9,123.716333212065,0.131487519975026,3.06706316009921
13,44,124.028773865738,0.131496820749523,3.0640697469949
13,44.1,124.340698681955,0.131506122153539,3.06108312938589
13,44.2,124.652086945192,0.13151542418623,3.05810327648847
13,44.3,124.962917808416,0.131524726846755,3.05513015772763
13,44.4,125.273170293984,0.13153403013427,3.05216374273518
13,44.5,125.582823294578,0.131543334047932,3.0492040013479
13,44.6,125.891855574158,0.131552638586897,3.04625090360568
13,44.7,126.200245768958,0.131561943750322,3.04330441974972
13,44.8,126.507972388511,0.131571249537362,3.04036452022072
13,44.9,126.815013816702,0.131580555947174,3.03743117565708
13,45,127.121348312856,0.131589862978913,3.03450435689319
13,45.1,127.426954012857,0.131599170631734,3.03158403495764
