bodyMass,mu,sigma,nu
184.5,435.7898284,0.083466339,2.307024776
184.6,435.8324263,0.083473395,2.304738984
184.7,435.8748512,0.083480452,2.302454431
184.8,435.9171041,0.08348751,2.300171115
184.9,435.9591861,0.083494568,2.297889033
185.0,436.0010991,0.083501626,2.295608186
185.1,436.0428472,0.083508685,2.293328571
185.2,436.0844352,0.083515745,2.291050187
185.3,436.1258679,0.083522806,2.288773033
185.4,436.16715,0.083529867,2.286497108
185.5,436.2082864,0.083536928,2.28422241
185.6,436.2492818,0.08354399,2.281948938
185.7,436.290141,0.083551053,2.279676691
185.8,436.3308689,0.083558117,2.277405667
185.9,436.3714701,0.08356518,2.275135864
186.0,436.4119495,0.083572245,2.272867283
186.1,436.4523119,0.08357931,2.270599921
186.2,436.4925621,0.083586376,2.268333776
186.3,436.5327049,0.083593442,2.266068849
186.4,436.5727451,0.083600509,2.263805137
186.5,436.6126875,0.083607577,2.261542639
186.6,436.6525368,0.083614645,2.259281354
186.7,436.692298,0.083621714,2.25702128
186.8,436.7319758,0.083628783,2.254762417
186.9,436.771575,0.083635853,2.252504762
187.0,436.8111005,0.083642924,2.250248315
187.1,436.850557,0.083649995,2.247993075
187.2,436.8899493,0.083657067,2.245739039
187.3,436.9292824,0.083664139,2.243486208
187.4,436.9685609,0.083671212,2.241234578
187.5,437.0077898,0.083678285,2.23898415
187.6,437.0469739,0.083685359,2.236734922
187.7,437.0861179,0.083692434,2.234486893
187.8,437.1252267,0.08369951,2.23224006
187.9,437.1643051,0.083706585,2.229994424
188.0,437.203358,0.083713662,2.227749983
188.1,437.2423902,0.083720739,2.225506735
188.2,437.2814065,0.083727817,2.22326468
188.3,437.3204118,0.083734895,2.221023815
188.4,437.3594109,0.083741974,2.218784141
188.5,437.3984086,0.083749054,2.216545654
188.6,437.437409,0.083756134,2.214308355
188.7,437.4764128,0.083763214,2.212072242
188.8,437.5154202,0.083770296,2.209837314
188.9,437.554431,0.083777378,2.207603569
189.0,437.5934453,0.08378446,2.205371006
189.1,437.6324631,0.083791543,2.203139624
189.2,437.6714843,0.083798627,2.200909422
189.3,437.7105091,0.083805711,2.198680398
189.4,437.7495373,0.083812796,2.196452552
189.5,437.788569,0.083819882,2.194225881
189.6,437.8276041,0.083826968,2.192000385
189.7,437.8666428,0.083834054,2.189776063
189.8,437.9056849,0.083841142,2.187552913
189.9,437.9447305,0.08384823,2.185330933
190.0,437.9837796,0.083855318,2.183110124
