key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	fo_ia	hu	ro	pl	hy	he	ar	el	ja	zh_HANT	et	ia
Competition.teamPoints1st	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Points d'équipe pour la 1ère place	Points d'équipe pour la 1ère place	Points d'équipe pour la 1ère place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place	Team Points for 1st place
Competition.teamPoints2nd	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Points d'équipe pour la 2ème place	Points d'équipe pour la 2ème place	Points d'équipe pour la 2ème place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place	Team Points for 2nd place
