key	en	en_US	en_CA	es	es_419	es_ES	es_SV	es_EC	fr	fr_CA	fr_FR	pt	ru	de	sv	da	fi	no	fo	hu	ro	pl	hy	he	ar	el	ja	zh_HANT	et	ia		
Division.U_MIXED	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed	By Age Group Mixed		
Division.MASTERS_MIXED	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed	Masters Mixed		
Division.IWF_MIXED	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed	IWF Mixed		
Competition.mixedTeamSize	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size	Mixed "Top Results" Team Size		
